block_height,block_index,total,fees,size,gas_limit,gas_used,gas_price,gas_tip_cap,gas_fee_cap,confirmed,received,ver,double_spend,vin_sz,vout_sz,confirmations,confidence,Label
6040207,168,5.10E+17,4.20E+14,110,21000,21000,20000000000,20000000000,20000000000,1532673272,1532673248,0,0,1,1,8749191,1,1
6067470,5,2.99E+18,8.61E+14,110,60000,21000,41000000000,41000000000,41000000000,1533067998,1533067994,0,0,1,1,8721929,1,1
6070400,9,2.00E+18,4.20E+14,110,21000,21000,20000000000,20000000000,20000000000,1533111484,1533111479,0,0,1,1,8718999,1,1
6076000,59,5.00E+17,4.20E+14,110,21000,21000,20000000000,20000000000,20000000000,1533193396,1533193409,0,0,1,1,8713399,1,1
6088294,157,5.00E+17,4.20E+14,110,21000,21000,20000000000,20000000000,20000000000,1533372192,1533372192,0,0,1,1,8701105,1,1
6153843,40,4.19E+18,8.61E+14,112,75000,21000,41000000000,41000000000,41000000000,1534328893,1534328846,0,0,1,1,8635556,1,1
6153921,39,3.00E+18,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1534330002,1534329985,0,0,1,1,8635478,1,1
6244420,77,1.00E+18,2.08E+14,115,250000,34725,6000000000,6000000000,6000000000,1535651331,1535651325,0,0,1,1,8544979,1,1
6247238,52,1.10E+18,1.89E+14,110,22000,21004,9000000000,9000000000,9000000000,1535692420,1535692415,0,0,1,1,8542161,1,1
6250595,7,4.42E+18,8.61E+14,111,50000,21000,41000000000,41000000000,41000000000,1535741331,1535741329,0,0,1,1,8538804,1,1
6257219,64,3.50E+18,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1535838776,1535838766,0,0,1,1,8532180,1,1
6268187,72,1.00E+18,2.49E+14,115,250000,49725,5000000000,5000000000,5000000000,1535997550,1535997531,0,0,1,1,8521212,1,1
6346918,23,5.68E+18,8.61E+14,111,45000,21000,41000000000,41000000000,41000000000,1537131405,1537131392,0,0,1,1,8442482,1,1
6347048,89,4.00E+18,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1537133046,1537133030,0,0,1,1,8442353,1,1
6347280,219,1.99E+18,1.05E+14,113,84000,21000,5000000000,5000000000,5000000000,1537136462,1537136445,0,0,1,1,8442121,1,1
6347546,94,1.96E+18,1.18E+14,114,250000,29493,4000000000,4000000000,4000000000,1537140127,1537138018,0,0,1,1,8441855,1,1
6352875,99,1.00E+16,2.95E+14,114,250000,29493,10000000000,10000000000,10000000000,1537215772,1537215769,0,1,1,1,8436526,1,1
6359349,213,8.00E+17,2.95E+14,115,250000,29493,10000000000,10000000000,10000000000,1537308476,1537308416,0,0,1,1,8430052,1,1
6367467,128,9.00E+17,2.95E+14,115,250000,29493,10000000000,10000000000,10000000000,1537424536,1537424514,0,0,1,1,8421934,1,1
6384490,55,3.30E+17,9.45E+14,112,21000,21000,45000000000,45000000000,45000000000,1537667324,1537667341,0,0,1,1,8404911,1,1
6384515,68,3.20E+17,2.95E+14,115,250000,29493,10000000000,10000000000,10000000000,1537667626,1537667617,0,0,1,1,8404886,1,1
6429741,5,5.46E+18,8.40E+14,111,60000,21000,40000000000,40000000000,40000000000,1538308602,1538308598,0,0,1,1,8359660,1,1
6431351,348,3.00E+18,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1538331629,1538331607,0,0,1,1,8358051,1,1
6450285,104,2.00E+18,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1538599045,1538599028,0,0,1,1,8339117,1,1
6482652,14,5.00E+17,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1539051207,1539051206,0,0,1,1,8306750,1,1
6521423,128,6.05E+18,8.61E+14,111,50000,21000,41000000000,41000000000,41000000000,1539595511,1539595514,0,0,1,1,8267979,1,1
6523951,146,5.00E+18,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1539630874,1539630793,0,0,1,1,8265451,1,1
6604548,87,1.00E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1540769241,1540769232,0,0,1,1,8184854,1,1
6620668,24,6.32E+18,8.40E+14,112,70000,21000,40000000000,40000000000,40000000000,1540997541,1540997532,0,0,1,1,8168734,1,1
6628297,19,5.00E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1541106508,1541106498,0,0,1,1,8161105,1,1
6660807,100,1.00E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1541567298,1541567312,0,0,1,1,8128595,1,1
7513404,170,3.55E+17,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1554502281,1554502287,0,0,1,1,7275998,1,1
